Country,Probabilidade,Disponibilidade,Atributo,Urânio (Ton.)
Congo Dem Rep of,Inferred,in Situ,<USD 40/kgU,0
Congo Dem Rep of,Inferred,in Situ,Entre 40 e 80 USD,0
Congo Dem Rep of,Inferred,in Situ,Entre 80 e 130 USD,0
Congo Dem Rep of,Inferred,in Situ,Entre 130 e 260 USD,1700
Czech Republic,Inferred,in Situ,<USD 40/kgU,0
Czech Republic,Inferred,in Situ,Entre 40 e 80 USD,0
Czech Republic,Inferred,in Situ,Entre 80 e 130 USD,113500
Czech Republic,Inferred,in Situ,Entre 130 e 260 USD,0
Denmark/Greenland,Inferred,in Situ,<USD 40/kgU,0
Denmark/Greenland,Inferred,in Situ,Entre 40 e 80 USD,0
Denmark/Greenland,Inferred,in Situ,Entre 80 e 130 USD,0
Denmark/Greenland,Inferred,in Situ,Entre 130 e 260 USD,125100
Egypt,Inferred,in Situ,<USD 40/kgU,0
Egypt,Inferred,in Situ,Entre 40 e 80 USD,0
Egypt,Inferred,in Situ,Entre 80 e 130 USD,500
Egypt,Inferred,in Situ,Entre 130 e 260 USD,2000
Gabon,Inferred,in Situ,<USD 40/kgU,0
Gabon,Inferred,in Situ,Entre 40 e 80 USD,0
Gabon,Inferred,in Situ,Entre 80 e 130 USD,0
Gabon,Inferred,in Situ,Entre 130 e 260 USD,1300
Germany,Inferred,in Situ,<USD 40/kgU,0
Germany,Inferred,in Situ,Entre 40 e 80 USD,0
Germany,Inferred,in Situ,Entre 80 e 130 USD,0
Germany,Inferred,in Situ,Entre 130 e 260 USD,5300
Greece,Inferred,in Situ,<USD 40/kgU,0
Greece,Inferred,in Situ,Entre 40 e 80 USD,0
Greece,Inferred,in Situ,Entre 80 e 130 USD,0
Greece,Inferred,in Situ,Entre 130 e 260 USD,8000
Guyana,Inferred,in Situ,<USD 40/kgU,0
Guyana,Inferred,in Situ,Entre 40 e 80 USD,0
Guyana,Inferred,in Situ,Entre 80 e 130 USD,0
Guyana,Inferred,in Situ,Entre 130 e 260 USD,2900
Hungary,Inferred,in Situ,<USD 40/kgU,0
Hungary,Inferred,in Situ,Entre 40 e 80 USD,0
Hungary,Inferred,in Situ,Entre 80 e 130 USD,0
