Country,Deposit ID,Deposit Name,Deposit Type,Deposit Subtype,Resource Range,Grade Range (Teor)
Australia,1794,Slance,Metasomatite,Na-metasomatite,≥25 - <300,≥0.05 - <0.10
Australia,2024,Sleisbeck,Proterozoic unconformity,Basement-hosted,>0 - <25,≥0.20 - <0.50
Australia,5145,Spring Hill ,Granite-related,Endogranitic,≥300 - <1000,≥0.20 - <0.50
Australia,5447,Stallion,Sandstone,Basal Channel,≥1000 - <2500,≥0.01 - <0.05
Australia,63,Sue,Sandstone,Mafic dykes and sills in Proterozoic sandstone,≥300 - <1000,≥0.10 - <0.20
Australia,5163,Sundberg,Sandstone,Tabular,≥25 - <300,≥0.01 - <0.05
Australia,1589,Thanksgiving,Metasomatite,Na-metasomatite,≥300 - <1000,≥0.01 - <0.05
Australia,5185,Thatcher Soak East,Surficial,Lacustrine-playa,≥1000 - <2500,≥0.01 - <0.05
Australia,64,Thatcher Soak West,Surficial,Lacustrine-playa,≥2500 - <5000,≥0.01 - <0.05
Australia,1844,Theseus,Sandstone,Basal Channel,≥2500 - <5000,≥0.01 - <0.05
Australia,1758,Thunderball,Metamorphite,Structurally-controlled,≥300 - <1000,≥0.05 - <0.10
Australia,1590,Toongi,Intrusive,Plutonic,≥5000 - <10000,≥0.01 - <0.05
Australia,65,Trident,Volcanic-related,Structurally-controlled,≥300 - <1000,≥0.10 - <0.20
Australia,66,Turee Creek,Proterozoic unconformity,Basement-hosted,≥300 - <1000,≥0.01 - <0.05
Australia,2025,Twin,Proterozoic unconformity,Basement-hosted,≥25 - <300,≥0.10 - <0.20
Australia,67,Two-Gee,Volcanic-related,Structurally-controlled,≥300 - <1000,≥0.10 - <0.20
Australia,68,Valhalla,Metasomatite,Na-metasomatite,≥25000 - <50000,≥0.05 - <0.10
Australia,69,Walbiri,Sandstone,Tabular,≥5000 - <10000,≥0.05 - <0.10
Australia,5250,Warawai,Metasomatite,Na-metasomatite,≥25 - <300,≥0.01 - <0.05
Australia,70,Warrior,Sandstone,Basal Channel,≥2500 - <5000,≥0.01 - <0.05
Australia,1333,Watta,Metasomatite,Na-metasomatite,≥1000 - <2500,≥0.01 - <0.05
Australia,72,White's,Proterozoic unconformity,Basement-hosted,≥300 - <1000,≥0.20 - <0.50
Australia,5255,Wild Dog Mine,Metamorphite,Structurally-controlled,≥25 - <300,≥0.20 - <0.50
Australia,1319,Windimurra,Surficial,Fluvial valley,≥2500 - <5000,≥0.01 - <0.05
Australia,1559,Wondinong,Surficial,Fluvial valley,≥1000 - <2500,≥0.01 - <0.05
Australia,1795,Yandegin,Sandstone,Rollfront,≥300 - <1000,≥0.01 - <0.05
