Country,Probabilidade,Disponibilidade,Preço,Urânio (Ton.)
Namibia,Inferred,in Situ,<USD 260/kgU,513800
Namibia,RAR,Recoverable,<USD 40/kgU,0
Namibia,RAR,Recoverable,<USD 80/kgU,11800
Namibia,RAR,Recoverable,<USD 130/kgU,307200
Namibia,RAR,Recoverable,<USD 260/kgU,322800
Namibia,Inferred,Recoverable,<USD 40/kgU,0
Namibia,Inferred,Recoverable,<USD 80/kgU,7900
Namibia,Inferred,Recoverable,<USD 130/kgU,162900
Namibia,Inferred,Recoverable,<USD 260/kgU,186700
Namibia,RAR,in Situ,<USD 40/kgU,0
Namibia,RAR,in Situ,<USD 80/kgU,14700
Namibia,RAR,in Situ,<USD 130/kgU,384000
Namibia,RAR,in Situ,<USD 260/kgU,403500
Niger,Inferred,in Situ,<USD 40/kgU,0
Niger,Inferred,in Situ,<USD 80/kgU,44800
Niger,Inferred,in Situ,<USD 130/kgU,66200
Niger,Inferred,in Situ,<USD 260/kgU,172600
Niger,Inferred,Recoverable,<USD 40/kgU,0
Niger,Inferred,Recoverable,<USD 80/kgU,53600
Niger,Inferred,Recoverable,<USD 130/kgU,133200
Niger,Inferred,Recoverable,<USD 260/kgU,0
Niger,RAR,in Situ,<USD 40/kgU,0
Niger,RAR,in Situ,<USD 80/kgU,18000
